question_id,topk_mass,neg_entropy,neg_logprob_var,is_correct
gsm8k_15,0.9884956781004002,-0.24044487804867096,-12.708583006432852,False
gsm8k_16,0.9777741799730209,-0.4676019549364848,-8.944465870568997,True
gsm8k_16,0.9663361652571889,-0.5714011396750793,-8.014746377033767,False
gsm8k_16,0.9673728146771701,-0.4982246147854252,-7.938652512118963,True
gsm8k_16,0.9752927366935278,-0.4415935927140264,-9.370888068374526,True
gsm8k_16,0.9569524597804925,-0.5623928851110792,-7.374448448619691,True
gsm8k_16,0.9627968153466393,-0.6189505629181129,-6.0384196131940975,False
gsm8k_16,0.9677934918569562,-0.41462343993873146,-10.60107031967196,True
gsm8k_17,0.9979653575727543,-0.19161677885607073,-11.083847543300644,True
gsm8k_17,0.9975191727107353,-0.19929541739887627,-11.832343523709373,True
gsm8k_17,0.9978767945058173,-0.16013362536892758,-10.247030286155258,False
gsm8k_17,0.9976895961596632,-0.1956843223159581,-12.944796193037218,False
gsm8k_17,0.9989791506285748,-0.1552555498837142,-9.989908943430795,False
gsm8k_17,0.9986580053471972,-0.15630897954166484,-11.904928116111753,True
gsm8k_17,0.9985296765499372,-0.15300102999337498,-9.665835975153893,False
gsm8k_18,0.9980789782926832,-0.22686776398096856,-10.713429355030458,True
gsm8k_18,0.9979704789021981,-0.25334780659226275,-9.561038783310744,False
gsm8k_18,0.9934757936292661,-0.3526142793407868,-8.553909765540679,False
gsm8k_18,0.994946147290996,-0.3097145970890179,-9.497197317469007,False
gsm8k_18,0.9961839333253617,-0.2698446912342647,-10.34045436858188,False
gsm8k_18,0.9960306331755133,-0.2864234540607752,-10.154387312637779,False
gsm8k_18,0.9960761406987084,-0.33797522469411184,-10.942858529706777,True
gsm8k_19,0.9920720063976585,-0.37210277466166813,-10.046307816280226,False
gsm8k_19,0.9907038733956093,-0.3403058198297856,-9.498008686941727,False
gsm8k_19,0.9895271527654437,-0.4239931126057406,-7.843435600236681,False
gsm8k_19,0.9915548656857129,-0.37517181672735833,-9.168893570329422,False
gsm8k_19,0.9916456732278539,-0.3809413864362153,-10.451594605666422,False
gsm8k_19,0.9857834950984388,-0.4714064774583397,-8.043326344414513,True
gsm8k_19,0.9921195751169407,-0.3371279116419661,-9.428316510472857,False
gsm8k_20,0.9942200352080791,-0.28107857152842647,-11.62019603325603,False
gsm8k_20,0.9893646670269378,-0.3910665660568665,-9.919626962390552,False
gsm8k_20,0.9947381477334809,-0.2340356569175312,-10.637765871971748,False
gsm8k_20,0.9942588879847489,-0.30111588860908234,-12.632954161356981,False
gsm8k_20,0.9947567337442556,-0.254529148783831,-12.041234243242057,False
gsm8k_20,0.9944874633495,-0.23911023371336027,-11.49387402828185,False
gsm8k_20,0.9908685038834046,-0.3013964799236574,-10.132524383508247,False
gsm8k_21,0.9944214606704391,-0.27484099117933863,-12.447297197912299,True
gsm8k_21,0.9952313862573283,-0.2618371350417754,-11.886322866268495,True
gsm8k_21,0.9914826429897724,-0.3423142661229767,-12.098704406149825,True
gsm8k_21,0.9908866199108829,-0.4105539908871183,-12.251619525173346,False
gsm8k_21,0.9888163583767056,-0.4076651653622345,-9.801440414768727,False
gsm8k_21,0.9673448270765606,-0.5378937625881133,-11.712598232724098,False
gsm8k_21,0.9917950333180908,-0.3411175334928479,-10.454199356864326,False
gsm8k_22,0.9970461126873393,-0.24429156217513281,-12.089888207479827,True
gsm8k_22,0.9963251514970829,-0.2514165996783802,-10.885158875273406,True
gsm8k_22,0.9908409427689149,-0.37540612716599664,-11.276898447366108,True
gsm8k_22,0.9962122625797452,-0.269108881463028,-11.503652924444086,True
gsm8k_22,0.996235005950421,-0.24107341375055308,-11.428562139598634,True
gsm8k_22,0.992762891366007,-0.28221111377383085,-11.282528727977267,True
gsm8k_22,0.9954183554974169,-0.22703977926703606,-11.713062266768848,True
gsm8k_23,0.9945040531244691,-0.24763503409605886,-13.074858950763373,False
gsm8k_23,0.9796148986517907,-0.4834848213354785,-12.934189724730082,True
gsm8k_23,0.9920947523674447,-0.2489348292021277,-12.471912103603662,False
gsm8k_23,0.9918187434196335,-0.2689128063568319,-13.054241089657644,False
gsm8k_23,0.9936475523879142,-0.248959393628072,-12.47942491368606,False
gsm8k_23,0.9948855731623143,-0.2523533592353181,-13.46732981431749,False
gsm8k_23,0.9945058297468067,-0.3036264301052506,-12.868333825742317,True
gsm8k_24,0.987871639428951,-0.3154714449826959,-14.84064690488777,False
gsm8k_24,0.9858258231596492,-0.3410538083335506,-16.274702042204744,True
gsm8k_24,0.9894980786498395,-0.3058250578059945,-18.107834865943342,True
gsm8k_24,0.989004277919343,-0.3742869032675759,-14.005338444235797,True
gsm8k_24,0.9867113909735533,-0.3239542120823414,-17.206848507682537,True
gsm8k_24,0.9960175944508223,-0.2690417929444886,-13.164673311819865,True
gsm8k_24,0.9853038735749962,-0.4122265527982472,-13.441779096081715,False
gsm8k_25,0.9968362488530581,-0.21119182379153723,-10.526244392976292,False
gsm8k_25,0.998942239101079,-0.1764645826564287,-11.224331045104702,False
gsm8k_25,0.9960817690746576,-0.323018818763494,-12.192385921619588,True
gsm8k_25,0.9961150112829469,-0.24451170123353727,-10.697519850721626,True
gsm8k_25,0.9972331139710815,-0.238238750964064,-11.607053587299788,False
