condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,1,0.3,F1,0.7111111111111111,1.0,0.0
soft_weighting,1,0.3,F1,0.7111111111111111,1.0,0.0
hard_only,1,0.3,F1,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.3,F1,0.7111111111111111,1.0,0.43333333333333335
baseline,1,0.3,F2,0.7111111111111111,1.0,0.0
soft_weighting,1,0.3,F2,0.7111111111111111,1.0,0.0
hard_only,1,0.3,F2,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.3,F2,0.7111111111111111,1.0,0.43333333333333335
baseline,1,0.3,F3,0.7111111111111111,1.0,0.0
soft_weighting,1,0.3,F3,0.7111111111111111,1.0,0.0
hard_only,1,0.3,F3,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.3,F3,0.7111111111111111,1.0,0.43333333333333335
baseline,1,0.3,mix,0.7111111111111111,1.0,0.0
soft_weighting,1,0.3,mix,0.7111111111111111,1.0,0.0
hard_only,1,0.3,mix,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.3,mix,0.7111111111111111,1.0,0.43333333333333335
baseline,1,0.45,F1,0.7111111111111111,1.0,0.0
soft_weighting,1,0.45,F1,0.7111111111111111,1.0,0.0
hard_only,1,0.45,F1,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.45,F1,0.7111111111111111,1.0,0.43333333333333335
baseline,1,0.45,F2,0.7111111111111111,1.0,0.0
soft_weighting,1,0.45,F2,0.7111111111111111,1.0,0.0
hard_only,1,0.45,F2,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.45,F2,0.7111111111111111,1.0,0.43333333333333335
baseline,1,0.45,F3,0.7111111111111111,1.0,0.0
soft_weighting,1,0.45,F3,0.7111111111111111,1.0,0.0
hard_only,1,0.45,F3,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.45,F3,0.7111111111111111,1.0,0.43333333333333335
baseline,1,0.45,mix,0.7111111111111111,1.0,0.0
soft_weighting,1,0.45,mix,0.7111111111111111,1.0,0.0
hard_only,1,0.45,mix,0.7111111111111111,1.0,0.43333333333333335
full_system,1,0.45,mix,0.7111111111111111,1.0,0.43333333333333335
baseline,5,0.0,F1,0.7666666666666667,1.0,0.0
soft_weighting,5,0.0,F1,0.7222222222222222,1.0,0.0
hard_only,5,0.0,F1,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.0,F1,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.0,F2,0.7666666666666667,1.0,0.0
soft_weighting,5,0.0,F2,0.7222222222222222,1.0,0.0
hard_only,5,0.0,F2,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.0,F2,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.0,F3,0.7666666666666667,1.0,0.0
soft_weighting,5,0.0,F3,0.7222222222222222,1.0,0.0
hard_only,5,0.0,F3,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.0,F3,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.0,mix,0.7666666666666667,1.0,0.0
soft_weighting,5,0.0,mix,0.7222222222222222,1.0,0.0
hard_only,5,0.0,mix,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.0,mix,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.15,F1,0.7666666666666667,1.0,0.0
soft_weighting,5,0.15,F1,0.7222222222222222,1.0,0.0
hard_only,5,0.15,F1,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.15,F1,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.15,F2,0.7666666666666667,1.0,0.0
soft_weighting,5,0.15,F2,0.7222222222222222,1.0,0.0
hard_only,5,0.15,F2,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.15,F2,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.15,F3,0.7666666666666667,1.0,0.0
soft_weighting,5,0.15,F3,0.7222222222222222,1.0,0.0
hard_only,5,0.15,F3,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.15,F3,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.15,mix,0.7666666666666667,1.0,0.0
soft_weighting,5,0.15,mix,0.7222222222222222,1.0,0.0
hard_only,5,0.15,mix,0.7666666666666667,0.9733333333333333,0.4888888888888889
full_system,5,0.15,mix,0.7111111111111111,0.9733333333333333,0.4888888888888889
baseline,5,0.3,F1,0.7444444444444445,1.0,0.0
soft_weighting,5,0.3,F1,0.7222222222222222,1.0,0.0
hard_only,5,0.3,F1,0.7444444444444445,0.8822222222222222,0.5
full_system,5,0.3,F1,0.7333333333333333,0.8822222222222222,0.5
baseline,5,0.3,F2,0.7444444444444445,1.0,0.0
soft_weighting,5,0.3,F2,0.7111111111111111,1.0,0.0
hard_only,5,0.3,F2,0.7333333333333333,0.9555555555555554,0.43333333333333335
full_system,5,0.3,F2,0.7444444444444445,0.9555555555555554,0.43333333333333335
baseline,5,0.3,F3,0.7444444444444445,1.0,0.0
soft_weighting,5,0.3,F3,0.7222222222222222,1.0,0.0
hard_only,5,0.3,F3,0.7444444444444445,0.8822222222222222,0.5
full_system,5,0.3,F3,0.7444444444444445,0.8822222222222222,0.5
baseline,5,0.3,mix,0.7444444444444445,1.0,0.0
