condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
full_system,7,0.15,F1,0.725,0.8517857142857143,0.0625
baseline,7,0.15,F2,0.775,1.0,0.0
soft_weighting,7,0.15,F2,0.725,1.0,0.0
hard_only,7,0.15,F2,0.775,0.9821428571428571,0.05
full_system,7,0.15,F2,0.7125,0.9821428571428571,0.05
baseline,7,0.15,F3,0.775,1.0,0.0
soft_weighting,7,0.15,F3,0.725,1.0,0.0
hard_only,7,0.15,F3,0.775,0.8517857142857143,0.0625
full_system,7,0.15,F3,0.725,0.8517857142857143,0.0625
baseline,7,0.15,mix,0.775,1.0,0.0
soft_weighting,7,0.15,mix,0.725,1.0,0.0
hard_only,7,0.15,mix,0.775,0.8517857142857143,0.0625
full_system,7,0.15,mix,0.725,0.8517857142857143,0.0625
baseline,7,0.3,F1,0.75,1.0,0.0
soft_weighting,7,0.3,F1,0.725,1.0,0.0
hard_only,7,0.3,F1,0.75,0.7535714285714287,0.1375
full_system,7,0.3,F1,0.7375,0.7535714285714287,0.1375
baseline,7,0.3,F2,0.75,1.0,0.0
soft_weighting,7,0.3,F2,0.75,1.0,0.0
hard_only,7,0.3,F2,0.75,0.9821428571428573,0.0375
full_system,7,0.3,F2,0.7625,0.9821428571428573,0.0375
baseline,7,0.3,F3,0.6875,1.0,0.0
soft_weighting,7,0.3,F3,0.725,1.0,0.0
hard_only,7,0.3,F3,0.75,0.7535714285714287,0.1375
full_system,7,0.3,F3,0.7375,0.7535714285714287,0.1375
baseline,7,0.3,mix,0.75,1.0,0.0
soft_weighting,7,0.3,mix,0.725,1.0,0.0
hard_only,7,0.3,mix,0.75,0.7535714285714287,0.1375
full_system,7,0.3,mix,0.7375,0.7535714285714287,0.1375
baseline,7,0.45,F1,0.7375,1.0,0.0
soft_weighting,7,0.45,F1,0.725,1.0,0.0
hard_only,7,0.45,F1,0.7375,1.0,1.0
full_system,7,0.45,F1,0.6375,1.0,1.0
baseline,7,0.45,F2,0.7375,1.0,0.0
soft_weighting,7,0.45,F2,0.6125,1.0,0.0
hard_only,7,0.45,F2,0.75,0.9839285714285715,0.025
full_system,7,0.45,F2,0.6,0.9839285714285715,0.025
baseline,7,0.45,F3,0.6375,1.0,0.0
soft_weighting,7,0.45,F3,0.725,1.0,0.0
hard_only,7,0.45,F3,0.6375,1.0,1.0
full_system,7,0.45,F3,0.6375,1.0,1.0
baseline,7,0.45,mix,0.7375,1.0,0.0
soft_weighting,7,0.45,mix,0.7125,1.0,0.0
hard_only,7,0.45,mix,0.7375,0.7428571428571429,0.1
full_system,7,0.45,mix,0.7125,0.7428571428571429,0.1
