condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
full_system,5,0.45,F1,0.6888888888888889,0.8044444444444443,0.5111111111111111
baseline,5,0.45,F2,0.6222222222222222,1.0,0.0
soft_weighting,5,0.45,F2,0.7,1.0,0.0
hard_only,5,0.45,F2,0.5333333333333333,0.9466666666666665,0.34444444444444444
full_system,5,0.45,F2,0.6111111111111112,0.9466666666666665,0.34444444444444444
baseline,5,0.45,F3,0.6222222222222222,1.0,0.0
soft_weighting,5,0.45,F3,0.6888888888888889,1.0,0.0
hard_only,5,0.45,F3,0.6666666666666666,0.8044444444444443,0.5111111111111111
full_system,5,0.45,F3,0.6888888888888889,0.8044444444444443,0.5111111111111111
baseline,5,0.45,mix,0.6666666666666666,1.0,0.0
soft_weighting,5,0.45,mix,0.6888888888888889,1.0,0.0
hard_only,5,0.45,mix,0.6666666666666666,0.8755555555555556,0.4444444444444444
full_system,5,0.45,mix,0.6888888888888889,0.8755555555555556,0.4444444444444444
baseline,7,0.0,F1,0.6888888888888889,1.0,0.0
soft_weighting,7,0.0,F1,0.6555555555555556,1.0,0.0
hard_only,7,0.0,F1,0.6888888888888889,0.9809523809523809,0.4666666666666667
full_system,7,0.0,F1,0.6555555555555556,0.9809523809523809,0.4666666666666667
baseline,7,0.0,F2,0.6888888888888889,1.0,0.0
soft_weighting,7,0.0,F2,0.6555555555555556,1.0,0.0
hard_only,7,0.0,F2,0.6888888888888889,0.9809523809523809,0.4666666666666667
full_system,7,0.0,F2,0.6555555555555556,0.9809523809523809,0.4666666666666667
baseline,7,0.0,F3,0.6888888888888889,1.0,0.0
soft_weighting,7,0.0,F3,0.6555555555555556,1.0,0.0
hard_only,7,0.0,F3,0.6888888888888889,0.9809523809523809,0.4666666666666667
full_system,7,0.0,F3,0.6555555555555556,0.9809523809523809,0.4666666666666667
baseline,7,0.0,mix,0.6888888888888889,1.0,0.0
soft_weighting,7,0.0,mix,0.6555555555555556,1.0,0.0
hard_only,7,0.0,mix,0.6888888888888889,0.9809523809523809,0.4666666666666667
full_system,7,0.0,mix,0.6555555555555556,0.9809523809523809,0.4666666666666667
